BIN,BOROUGH,ZIP,HOUSE_NUM,STREET_NAME,BLOCK,LOT,CONFIRMATION_NUM,REPORTING_YEAR,TANK_NUM,INSPECTION_BY_FIRM,INSPECTION_PERFORMED,INSPECTION_DATE,GI_REQ_INTERNAL_STRUCTURE,GI_RESULT_INTERNAL_STRUCTURE,GI_REQ_EXTERNAL_STRUCTURE,GI_RESULT_EXTERNAL_STRUCTURE,GI_REQ_OVERFLOW_PIPES,GI_RESULT_OVERFLOW_PIPES,GI_REQ_ACCESS_LADDERS,GI_RESULT_ACCESS_LADDERS,GI_REQ_AIR_VENTS,GI_RESULT_AIR_VENTS,GI_REQ_ROOF_ACCESS,GI_RESULT_ROOF_ACCESS,SI_REQ_SEDIMENT,SI_RESULT_SEDIMENT,SI_REQ_BIOLOGICAL_GROWTH,SI_RESULT_BIOLOGICAL_GROWTH,SI_REQ_DEBRIS_INSECTS,SI_RESULT_DEBRIS_INSECTS,SI_REQ_RODENT_BIRD,SI_RESULT_RODENT_BIRD,SAMPLE_COLLECTED,LAB_NAME,NYS_CERTIFIED,ANALYTES,COLIFORM,ECOLI,MEET_STANDARDS,DELETED,LATITUDE,LONGITUDE,COMMUNITY_BOARD,COUNCIL_DISTRICT,CENSUS_TRACT,BBL,NTA,BATCH_DATE
4051250,QUEENS,11375,102-01,66th Road,2131,16,WTI0263307013,2023,2,Rosenwach Tank Co. LLC,Y,7/12/2023,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,EMSL,Y,B,A,A,,No,40.729265,-73.852016,6,29,71304,4021310016,Forest Hills,12/20/2024 12:15
3024625,BROOKLYN,11217,39,Plaza Street West,1064,18,WTI1807804172,2022,1,Rosenwach Tank Co. LLC,Y,5/12/2022,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,EMSL,Y,B,A,A,,No,40.673553,-73.971405,6,39,159,3010640018,Park Slope-Gowanus,12/20/2024 12:15
3346312,BROOKLYN,11201,33,University Plaza,2085,25,WTI9595149647,2023,1,American Pipe and Tank,Y,3/8/2023,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,EBS,Y,B,A,A,,No,40.69071,-73.98144,2,35,31,3020850025,Fort Greene,12/20/2024 12:15
1090115,MANHATTAN,10038,19,Dutch Street,78,47,WTI1176662583,2021,2,Rosenwach Tank Co. LLC,Y,5/19/2021,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,EMSL,Y,B,A,A,,No,40.70976,-74.007174,1,1,1502,1000780047,Battery Park City-Lower Manhattan,12/20/2024 12:15
2092911,BRONX,10472,1435,Harrod Ave,3886,2,WTI8040319665,2022,1,American Pipe and Tank,Y,5/31/2022,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,EBS,Y,B,A,A,,No,40.834605,-73.87487,9,18,62,2038860002,West Farms-Bronx River,12/20/2024 12:15
1076225,MANHATTAN,10023,25,Central Park West,1115,7501,WTI7809010769,2021,4,Culligan of Manhattan,Y,9/1/2021,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,A,Y,N,Y,N,Y,N,Y,Certified Laboratories,Y,B,A,A,,No,40.770148,-73.9804,7,6,149,1011157501,Lincoln Square,12/20/2024 12:15
1015900,MANHATTAN,10018,390,Fifth Avenue,837,48,WTI7064052107,2023,1,ISSEKS BROS INC,Y,6/10/2023,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,"Environmental Building Solutions, LLC",Y,B,A,A,,No,40.749807,-73.98408,5,4,84,1008370048,Midtown-Midtown South,12/20/2024 12:15
1078985,MANHATTAN,10004,40,Broad Street,24,7501,WTI3192402850,2022,1,Rosenwach Tank Co. LLC,Y,11/4/2022,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,EMSL,Y,B,A,A,,No,40.706021,-74.011332,1,1,9,1000247501,Battery Park City-Lower Manhattan,12/20/2024 12:15
1076843,MANHATTAN,10019,116,Central Park South,1011,7503,WTI8566299601,2020,1,Rosenwach Tank Co. LLC,Y,8/12/2020,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,EMSL Analytical,Y,B,A,A,Y,No,40.765978,-73.976972,5,4,137,1010117503,Midtown-Midtown South,12/20/2024 12:15
1046952,MANHATTAN,10128,19,East 88th Street,1500,15,WTI7318231062,2020,1,Culligan of Manhattan,Y,4/23/2020,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,A,Y,N,Y,N,Y,N,Y,Certified Laboratories,Y,B,A,A,,No,40.782458,-73.95855,8,4,15002,1015000015,Upper East Side-Carnegie Hill,12/20/2024 12:15
1077844,MANHATTAN,10023,160,West 66th Street,1137,7501,WTI6613247663,2023,2,Rosenwach Tank Co. LLC,Y,5/1/2023,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,EMSL,Y,B,A,A,,No,40.774428,-73.98354,7,6,149,1011377501,Lincoln Square,12/20/2024 12:15
1048136,MANHATTAN,10128,1111,PARK AVENUE,1518,69,WTI2441159432,2020,2,Rosenwach Tank Co. LLC,Y,7/8/2020,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,EMSL Analytical,Y,B,A,A,Y,No,40.782473,-73.955513,8,4,14802,1015180069,Upper East Side-Carnegie Hill,12/20/2024 12:15
1088447,MANHATTAN,10003,725,Broadway,547,30,WTI9947869232,2021,2,Rosenwach Tank Co. LLC,Y,4/9/2021,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,EMSL,Y,B,A,A,,No,40.729431,-73.993401,2,1,57,1005470030,West Village,12/20/2024 12:15
1016897,MANHATTAN,10016,255,Fifth Avenue,858,3,WTI9610523480,2022,1,Rosenwach Tank Co. LLC,Y,12/12/2022,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,EMSL,Y,B,A,A,,No,40.744914,-73.987116,5,4,74,1008580003,Midtown-Midtown South,12/20/2024 12:15
1018467,MANHATTAN,10016,184,LEXINGTON AVE,887,23,WTI3567538441,2022,1,"ISSEKS BROS., INC.",Y,11/29/2022,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,"ENVIRONMENTAL BUILDING SOLUTIONS, LLC",Y,B,A,A,,No,40.744704,-73.98097,5,2,72,1008870023,Murray Hill-Kips Bay,12/20/2024 12:15
1018471,MANHATTAN,10016,475,Park Avenue South,887,95,WTI2003373730,2023,1,Rosenwach Tank Co. LLC,Y,2/20/2023,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,EMSL,Y,B,A,A,,No,40.745646,-73.982378,5,2,72,1008870095,Murray Hill-Kips Bay,12/20/2024 12:15
1045836,MANHATTAN,10021,1339,York Avenue,1466,21,WTI0734789553,2024,2,Nalco,Y,9/23/2024,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,EMSL,Y,B,A,A,,No,40.766515,-73.954008,8,5,124,1014660021,Lenox Hill-Roosevelt Island,12/20/2024 12:15
